Word,Joint_Prob,Posterior_Prob,Frequency
closur,1.5,0.5,3
ahmard,1.5,0.75,2
glacier,1.5,0.5,3
nan,1.5,0.75,2
anson,1.5,0.75,2
mareno,1.5,0.75,2
sophomor,1.5,0.5,3
headgear,1.5,0.75,2
jessup,1.5,0.75,2
co-pilot,1.5,0.5,3
my,1.5,0.5,3
breirah,1.5,0.75,2
overdraft,1.5,0.75,2
tippyto,1.5,0.5,3
fem,1.5,0.75,2
reggi,1.5,0.5,3
holton,1.5,0.75,2
round,1.4902597402597408,0.7451298701298704,2
soccer,1.4827586206896546,0.7413793103448273,2
--,1.4812918060200666,0.4937639353400222,3
wofford,1.4800000000000006,0.7400000000000003,2
fighter,1.475,0.7375,2
jane,1.4615384615384626,0.7307692307692313,2
buckley,1.444444444444445,0.7222222222222225,2
shop,1.431818181818182,0.4772727272727274,3
vietnam,1.426829268292683,0.35670731707317077,4
safer,1.4266144814090014,0.7133072407045007,2
handgun,1.4242424242424236,0.7121212121212118,2
teresa,1.4230769230769238,0.7115384615384619,2
gaza,1.4210526315789473,0.7105263157894737,2
julia,1.4166666666666665,0.7083333333333333,2
egg,1.4090909090909096,0.7045454545454548,2
gerlach,1.4000000000000001,0.7000000000000001,2
obstruct,1.3999999999999986,0.6999999999999993,2
magna,1.3999999999999986,0.6999999999999993,2
quaker,1.3999999999999986,0.6999999999999993,2
woo,1.3999999999999986,0.6999999999999993,2
marin,1.3999999999999986,0.6999999999999993,2
egan,1.3999999999999986,0.6999999999999993,2
mooney,1.3999999999999986,0.6999999999999993,2
coakley,1.3999999999999986,0.6999999999999993,2
smu,1.3999999999999986,0.6999999999999993,2
jeffersonian,1.3999999999999986,0.6999999999999993,2
000.,1.3970588235294112,0.6985294117647056,2
elect,1.3952095808383231,0.6976047904191616,2
forest,1.3928571428571435,0.34821428571428586,4
pena,1.3888888888888897,0.6944444444444449,2
poll,1.388888888888888,0.4629629629629627,3
lumber,1.3749999999999993,0.4583333333333331,3
toe,1.3749999999999991,0.6874999999999996,2
sergeant,1.3738317757009342,0.6869158878504671,2
public,1.3731393775372127,0.45771312584573753,3
rooney,1.3636363636363638,0.6818181818181819,2
mislead,1.3636363636363638,0.6818181818181819,2
